iter	RMSE
0	1025154.538
1	998126.0429
2	969652.2076
3	943338.3002
4	920012.7671
5	896426.3141
6	874783.675
7	854568.5775
8	835226.8238
9	819863.8251
10	802497.8281
11	786079.6472
12	769796.5066
13	756152.4557
14	743062.7489
15	730625.4058
16	718495.752
17	706706.0934
18	695030.8914
19	684100.6063
20	674044.3767
21	665928.3524
22	657776.4464
23	649124.2362
24	640499.6361
25	633176.1956
26	625807.8326
27	620312.0077
28	613785.6234
29	607830.7999
30	603546.2801
31	598192.6247
32	593279.4698
33	588785.7301
34	584311.4564
35	580391.9661
36	575871.7906
37	572163.2506
38	568833.5084
39	565537.0797
40	562086.9965
41	559071.9089
42	556530.8122
43	553987.1116
44	551362.803
45	549029.2306
46	546590.3368
47	544605.3896
48	541973.6654
49	539652.715
50	537629.9975
51	535735.6536
52	533918.3701
53	532494.0127
54	530316.3504
55	528813.0917
56	527103.8403
57	525382.9588
58	523887.7946
59	522397.8263
60	521265.4974
61	519991.5873
62	518765.4302
63	517257.3137
64	516369.8625
65	515183.8125
66	513934.5741
67	512430.2598
68	511374.8182
69	510639.8095
70	509582.9588
71	508564.0739
72	507949.4373
73	507204.4602
74	505710.1297
75	504470.9733
76	503910.101
77	503022.7825
78	502471.4056
79	501823.1324
80	500947.3238
81	499966.0516
82	499111.2873
83	498700.3253
84	497586.8881
85	496625.1195
86	495893.8943
87	495209.4098
88	494458.3638
89	493879.1683
90	493708.4544
91	493100.8934
92	492551.3498
93	492383.5362
94	491518.5446
95	490702.5767
96	489725.2665
97	488959.1453
98	488599.5918
99	487530.8691
100	486813.8809
101	486463.8177
102	485568.5284
103	484974.6008
104	484411.0084
105	483768.2014
106	483143.3951
107	482596.8594
108	482025.856
109	481516.9139
110	480963.3491
111	480340.2304
112	479310.9953
113	478560.7099
114	478189.2195
115	477888.2435
116	477452.6522
117	477015.1503
118	476506.25
119	476044.1827
120	475363.9661
121	474722.6178
122	474202.6396
123	473571.1816
124	473058.4382
125	472546.6596
126	472046.9084
127	471583.6128
128	471189.7097
129	470878.6883
130	470303.4686
131	469882.2824
132	469254.0952
133	468995.2473
134	468555.6458
135	468058.737
136	467630.1393
137	467155.8225
138	466742.7376
139	466377.1791
140	465818.7493
141	465339.0955
142	465071.4185
143	464881.9438
144	464251.1967
145	463861.0898
146	463291.0491
147	462697.9805
148	462186.2485
149	461758.0974
150	461317.5241
151	460933.8114
152	460546.8932
153	460250.3825
154	459881.1038
155	459184.8042
156	458856.3198
157	458431.4297
158	457980.1343
159	457583.8158
160	457229.1638
161	457086.4464
162	456544.926
163	456223.7455
164	455805.6696
165	455310.612
166	454985.0853
167	454718.7617
168	454526.1571
169	454126.1484
170	453899.7657
171	453333.2454
172	452865.0772
173	452501.7143
174	452164.6603
175	451786.1594
176	451183.6223
177	450440.444
178	450060.138
179	449613.6627
180	449034.5132
181	448587.8668
182	448178.2108
183	447942.3682
184	447737.093
185	447410.2293
186	446984.8914
187	446500.3484
188	446042.2038
189	445717.6494
190	445413.7135
191	444885.6477
192	444250.0153
193	443808.1236
194	443433.193
195	442856.4013
196	442696.7519
197	442191.0468
198	441803.7598
199	441753.1385
200	441525.3878
201	441165.7437
202	440931.5581
203	440498.7815
204	440251.2673
205	439823.1607
206	439286.733
207	439054.6248
208	439000.7953
209	438660.2736
210	438300.8731
211	437420.7317
212	437031.5265
213	436771.7431
214	436232.882
215	435838.0272
216	435694.8747
217	435384.2467
218	435083.5761
219	435002.2799
220	434613.7138
221	433879.1547
222	433630.0816
223	433180.8794
224	432842.2419
225	432533.825
226	432218.9602
227	431777.4388
228	431369.7365
229	430521.6331
230	430066.865
231	429698.8741
232	429452.6606
233	429198.4561
234	428765.8167
235	428474.7813
236	428188.626
237	428026.4957
238	427773.8226
239	427527.7784
240	427202.8623
241	426516.7332
242	425937.528
243	425609.9684
244	425333.6223
245	425049.2686
246	424534.9594
247	424222.3
248	423807.9709
249	423154.7992
250	422851.4206
251	422339.8535
252	422066.2383
253	421774.4949
254	421186.3914
255	420718.0686
256	420376.407
257	419869.7258
258	419544.4069
259	419147.0527
260	418804.0817
261	418428.902
262	418261.1781
263	418038.1198
264	417715.8624
265	417417.5776
266	416803.8489
267	416545.3243
268	416265.2148
269	416036.7743
270	415832.4512
271	415539.7351
272	415358.5505
273	414792.5377
274	414554.3435
275	413992.5739
276	413656.8894
277	413484.3082
278	413276.3277
279	412990.778
280	412631.5138
281	412492.1184
282	412125.1283
283	411855.719
284	411587.2926
285	411314.4971
286	411187.6638
287	410735.0695
288	410414.9969
289	410363.7721
290	410286.0978
291	409932.0592
292	409876.2189
293	409806.9705
294	409459.2426
295	409148.0971
296	408816.375
297	408761.3743
298	408486.3163
299	408118.2347
300	408047.371
301	407820.0088
302	407375.9752
303	407089.9046
304	406783.0433
305	406551.4579
306	406309.8782
307	406148.9311
308	405740.5892
309	405511.7206
310	405077.9225
311	404804.4695
312	404754.7263
313	404369.9933
314	403825.0862
315	403420.9916
316	403332.1025
317	402746.6271
318	402553.5162
319	402491.4822
320	402257.5868
321	401772.9127
322	401226.7152
323	400980.9511
324	400774.9212
325	400408.8911
326	400287.7991
327	400103.7343
328	399828.7991
329	399757.2754
330	399544.9554
331	399422.622
332	399335.5611
333	399037.2747
334	398894.2142
335	398839.3895
336	398454.6137
337	398113.3493
338	397752.8085
339	397601.8592
340	397422.0198
341	397152.2458
342	396888.6966
343	396601.9152
344	396420.3269
345	396378.0488
346	396134.5785
347	395983.4657
348	395706.1023
349	395139.5618
350	394925.9576
351	394545.0799
352	394079.3345
353	393923.9349
354	393847.9241
355	393662.9761
356	393221.73
357	392853.9571
358	392346.2161
