iter	Passed	Remaining
0	81	121455
1	169	127243
2	256	127904
3	321	120411
4	399	119404
5	483	120399
6	596	127218
7	687	128242
8	780	129277
9	878	130894
10	956	129536
11	1057	131095
12	1151	131744
13	1230	130623
14	1327	131400
15	1399	129816
16	1489	129960
17	1599	131653
18	1685	131348
19	1781	131857
20	1885	132825
21	1949	130952
22	2044	131277
23	2136	131405
24	2227	131418
25	2308	130886
26	2409	131466
27	2490	130947
28	2567	130253
29	2657	130234
30	2748	130247
31	2839	130278
32	2929	130247
33	3045	131327
34	3146	131697
35	3246	132023
36	3327	131583
37	3424	131768
38	3533	132389
39	3610	131798
40	3686	131202
41	3787	131492
42	3847	130360
43	3937	130300
44	4021	130015
45	4109	129881
46	4205	130002
47	4291	129805
48	4367	129343
49	4467	129544
50	4567	129777
51	4642	129287
52	4743	129500
53	4828	129307
54	4918	129231
55	5015	129329
56	5108	129332
57	5209	129511
58	5294	129320
59	5396	129515
60	5481	129320
61	5555	128847
62	5656	129018
63	5749	128995
64	5818	128463
65	5893	128046
66	5974	127791
67	6061	127653
68	6153	127610
69	6242	127521
70	6333	127464
71	6414	127225
72	6497	127020
73	6564	126501
74	6657	126492
75	6742	126323
76	6824	126119
77	6923	126213
78	7007	126043
79	7094	125929
80	7192	125995
81	7261	125564
82	7353	125544
83	7444	125500
84	7516	125122
85	7593	124859
86	7683	124789
87	7794	125059
88	7870	124774
89	7944	124460
90	8017	124138
91	8102	124008
92	8205	124144
93	8289	123982
94	8355	123576
95	8422	123179
96	8510	123099
97	8587	122847
98	8667	122663
99	8738	122340
100	8826	122262
101	8893	121896
102	8958	121506
103	9043	121387
104	9122	121203
105	9215	121199
106	9300	121083
107	9389	121025
108	9487	121077
109	9580	121064
110	9666	120965
111	9754	120886
112	9850	120911
113	9929	120716
114	10035	120862
115	10118	120721
116	10197	120543
117	10301	120650
118	10376	120422
119	10471	120420
120	10554	120287
121	10631	120080
122	10724	120061
123	10800	119851
124	10887	119759
125	10970	119630
126	11045	119409
127	11139	119406
128	11207	119112
129	11279	118871
130	11365	118773
131	11442	118587
132	11499	118197
133	11576	118015
134	11660	117897
135	11741	117756
136	11843	117826
137	11927	117717
138	12025	117746
139	12115	117691
140	12197	117561
141	12299	117620
142	12396	117634
143	12469	117423
144	12562	117390
145	12641	117236
146	12728	117151
147	12803	116958
148	12879	116783
149	12972	116753
150	13055	116632
151	13149	116617
152	13223	116417
153	13311	116348
154	13395	116236
155	13477	116115
156	13562	116019
157	13652	115958
158	13742	115905
159	13843	115935
160	13933	115884
161	14019	115787
162	14124	115857
163	14201	115687
164	14277	115521
165	14384	115593
166	14480	115587
167	14571	115534
168	14658	115450
169	14750	115399
170	14844	115368
171	14921	115209
172	15018	115196
173	15088	114983
174	15175	114896
175	15268	114863
176	15361	114822
177	15469	114887
178	15563	114856
179	15651	114779
180	15723	114584
181	15802	114439
182	15888	114346
183	15994	114394
184	16095	114411
185	16179	114299
186	16271	114247
187	16355	114143
188	16426	113945
189	16501	113776
190	16586	113676
191	16686	113679
192	16773	113589
193	16854	113467
194	16969	113563
195	17057	113486
196	17152	113449
197	17261	113507
198	17352	113444
199	17436	113338
200	17505	113129
201	17607	113141
202	17677	112946
203	17762	112844
204	17843	112716
205	17906	112479
206	17977	112292
207	18055	112152
208	18140	112056
209	18220	111928
210	18295	111768
