id_binyan,t_sug_mivne,ms_komot,gova_simplex_2019,max_height,min_height,shem_mivne,t_amudim,id_binyan_orig,UniqueId,year
20822,מבנה רגיל,3.0,15.05,31.35,16.3,מרכז לאוכלוסיה עם צרכים מיוחדים,לא,93281,513-20822,2001.0
20825,מבנה רגיל,5.0,55.36,71.77,16.41,,לא,88593,513-20825,1995.0
22014,מבנה רגיל,3.0,9.9,37.53,27.63, ,לא,100124,513-22014,1988.0
22015,מבנה רגיל,1.0,39.95,51.48,11.53, ,לא,50017,513-22015,
22016,מבנה רגיל,7.0,32.22,50.83,18.61, ,כן,50515,513-22016,1991.0
22018,מבנה רגיל,1.0,7.77,16.01,8.24, ,לא,50480,513-22018,
22019,מבנה רגיל,2.0,13.03,40.7,27.67, ,לא,53998,513-22019,1999.0
22020,מבנה רגיל,2.0,10.31,38.68,28.37, ,לא,98769,513-22020,1969.0
22021,מבנה רגיל,1.0,12.51,42.93,30.42, ,לא,93545,513-22021,1956.0
22023,מבנה רגיל,1.0,11.22,24.63,13.41, ,לא,100599,513-22023,2002.0
22024,מבנה רגיל,5.0,30.34,43.9,13.56, ,כן,100650,513-22024,2000.0
22025,מבנה רגיל,1.0,6.53,21.31,14.78, ,לא,100601,513-22025,2000.0
22026,מבנה רגיל,4.0,24.06,39.62,15.56, ,כן,100602,513-22026,2001.0
22027,מבנה רגיל,1.0,9.29,24.0,14.71, ,לא,100603,513-22027,1998.0
22028,מבנה רגיל,2.0,10.68,40.17,29.49, ,לא,93563,513-22028,2009.0
22029,מבנה רגיל,1.0,16.24,34.84,18.6, ,לא,93418,513-22029,
22031,מבנה רגיל,8.0,31.66,49.56,17.9, ,כן,93414,513-22031,1973.0
22032,מבנה רגיל,8.0,39.98,58.29,18.31, ,כן,93416,513-22032,1974.0
22034,מבנה רגיל,9.0,46.68,73.61,26.93, ,כן,100251,513-22034,1990.0
22035,מבנה ציבור,1.0,19.81,44.82,25.01, ,לא,54749,513-22035,1990.0
22037,מבנה רגיל,9.0,35.45,63.77,28.32, ,כן,99929,513-22037,1997.0
22038,מבנה רגיל,10.0,38.15,68.29,30.14, ,כן,99926,513-22038,1994.0
22039,מבנה ציבור,1.0,15.83,38.75,22.92, ,לא,99968,513-22039,1997.0
22040,מבנה ציבור,3.0,13.28,36.69,23.41,בית ספר יסדי רמת אביב ג,לא,99967,513-22040,1978.0
22044,מבנה רגיל,1.0,10.21,43.19,32.98, ,לא,99935,513-22044,1989.0
22045,מבנה רגיל,2.0,7.39,34.79,27.4, ,לא,98753,513-22045,1974.0
22046,מבנה רגיל,3.0,10.46,41.36,30.9, ,לא,100089,513-22046,1993.0
22047,מבנה רגיל,2.0,8.96,38.75,29.79, ,לא,100174,513-22047,1980.0
22048,מבנה רגיל,15.0,56.68,83.52,26.84, ,כן,55170,513-22048,1993.0
22049,מבנה רגיל,14.0,54.69,85.01,30.32, ,כן,141778,513-22049,1992.0
22050,מבנה רגיל,8.0,35.1,58.34,23.24, ,כן,100237,513-22050,1983.0
22053,מבנה רגיל,1.0,4.12,23.4,19.28, ,לא,50004,513-22053,
22054,מבנה רגיל,8.0,37.37,57.44,20.07, ,כן,100488,513-22054,1988.0
22055,מבנה רגיל,9.0,35.16,60.73,25.57, ,כן,53979,513-22055,1990.0
22056,מבנה רגיל,9.0,34.39,56.08,21.69, ,כן,50513,513-22056,1988.0
22057,מבנה רגיל,9.0,38.25,61.43,23.18, ,כן,99415,513-22057,1990.0
22058,מבנה רגיל,9.0,38.23,61.49,23.26, ,כן,100483,513-22058,1990.0
22060,מבנה ציבור,3.0,55.91,85.26,29.35, ,כן,99428,513-22060,1992.0
22061,מבנה רגיל,14.0,56.86,88.76,31.9, ,כן,99431,513-22061,1986.0
22063,מבנה רגיל,2.0,10.6,32.53,21.93, ,לא,93479,513-22063,2006.0
22064,מבנה רגיל,2.0,7.75,29.71,21.96, ,לא,93480,513-22064,1971.0
22066,מבנה רגיל,6.0,28.44,51.13,22.69, ,כן,99975,513-22066,1992.0
22067,מבנה רגיל,8.0,31.88,52.62,20.74, ,לא,93484,513-22067,1974.0
22071,מבנה רגיל,1.0,10.47,31.42,20.95, ,לא,53968,513-22071,1982.0
22072,מבנה רגיל,16.0,56.38,80.22,23.84, ,כן,100248,513-22072,1985.0
