iter	RMSE
0	1174721.673
1	1143643.158
2	1114926.223
3	1089189.91
4	1063191.15
5	1039124.596
6	1016615.565
7	994865.8842
8	973687.1385
9	953505.3568
10	934792.2261
11	915884.7065
12	899568.2134
13	882538.1025
14	866332.8788
15	850152.0629
16	835622.9676
17	822489.514
18	810472.9282
19	799254.7899
20	788291.7596
21	777046.8431
22	766922.7761
23	757252.5922
24	747167.1993
25	737634.5212
26	729199.135
27	720431.0191
28	712392.4528
29	705159.7758
30	698255.6779
31	691006.931
32	684081.3546
33	678315.8158
34	672419.1789
35	667217.9458
36	662158.906
37	656672.2165
38	651458.4988
39	646396.3112
40	641798.4608
41	637285.5559
42	633047.0603
43	628777.8167
44	625169.897
45	621847.9337
46	618473.2604
47	614776.5043
48	611187.7679
49	607994.7629
50	605347.9266
51	602624.8907
52	599638.2624
53	596724.8255
54	593985.4771
55	590942.4935
56	588633.2714
57	586325.585
58	584126.2011
59	582087.4665
60	580183.6856
61	577954.5654
62	575727.9488
63	573398.2564
64	571572.0876
65	569540.2603
66	567737.369
67	565845.9009
68	563954.4112
69	562283.1772
70	561053.2507
71	559546.0955
72	558371.1509
73	557037.6561
74	555841.8304
75	554481.7578
76	553277.3908
77	551794.7115
78	550487.8631
79	549039.305
80	547835.4422
81	546565.308
82	545413.2497
83	544259.144
84	543215.3048
85	542099.2529
86	541280.9258
87	540318.1818
88	539394.4201
89	538283.0415
90	537416.4093
91	536436.7579
92	535409.5808
93	534876.452
94	534119.2272
95	533340.7468
96	532595.8415
97	531413.4122
98	530750.7
99	529837.3608
100	529143.6796
101	528341.428
102	527843.7329
103	527253.0931
104	526605.4374
105	526160.2778
106	525425.9189
107	524851.772
108	524275.7377
109	523799.0079
110	523189.8065
111	522726.4145
112	522391.6336
113	521846.8103
114	521475.6823
115	520960.5981
116	520689.8612
117	520104.3167
118	519591.3145
119	519109.6645
120	518616.7399
121	518237.9764
122	517860.1954
123	517440.2195
124	517040.6529
125	516524.0436
126	516061.8565
127	515645.1484
128	515233.0798
129	514914.6568
130	514546.2954
131	514240.1043
132	513860.6594
133	513604.2366
134	513322.2518
135	512957.988
136	512619.1659
137	512164.3216
