iter	Passed	Remaining
0	13	6563
1	26	6703
2	38	6374
3	51	6433
4	64	6426
5	78	6493
6	105	7417
7	120	7394
8	147	8043
9	184	9020
10	187	8355
11	197	8019
12	215	8064
13	240	8357
14	264	8559
15	271	8205
16	281	7998
17	297	7971
18	308	7804
19	323	7768
20	334	7640
21	357	7764
22	371	7707
23	390	7738
24	411	7826
25	439	8021
26	468	8200
27	488	8237
28	517	8405
29	533	8363
30	551	8336
31	568	8311
32	615	8711
33	619	8495
34	650	8636
35	666	8588
36	695	8699
37	701	8531
38	725	8581
39	738	8489
40	747	8373
41	769	8394
42	780	8291
43	799	8281
44	809	8182
45	819	8087
46	837	8068
47	842	7934
48	848	7813
49	856	7708
50	876	7714
51	880	7585
52	883	7455
53	897	7414
54	916	7416
55	956	7583
56	965	7502
57	985	7507
58	995	7440
59	1018	7468
60	1038	7470
61	1054	7449
62	1063	7377
63	1078	7345
64	1091	7302
65	1109	7296
66	1118	7226
67	1132	7194
68	1141	7131
69	1170	7188
70	1174	7095
71	1204	7159
72	1243	7273
73	1252	7207
74	1283	7271
75	1300	7253
76	1310	7200
77	1317	7127
78	1328	7077
79	1348	7079
80	1357	7022
81	1383	7050
82	1387	6971
83	1397	6920
84	1411	6892
85	1425	6862
86	1434	6811
87	1445	6767
88	1466	6772
89	1475	6721
90	1485	6678
91	1493	6622
92	1499	6563
93	1513	6536
94	1531	6530
95	1545	6504
96	1555	6462
97	1587	6510
98	1596	6468
99	1606	6424
100	1624	6416
101	1633	6375
102	1643	6335
103	1660	6321
104	1664	6260
105	1680	6246
106	1698	6237
107	1710	6209
108	1716	6158
109	1724	6114
110	1729	6060
111	1740	6029
112	1754	6007
113	1767	5985
114	1774	5941
115	1777	5885
116	1786	5849
117	1793	5804
118	1806	5784
119	1829	5793
120	1836	5751
121	1847	5724
122	1850	5673
123	1856	5628
124	1868	5606
125	1882	5587
126	1887	5542
127	1902	5529
128	1917	5514
129	1968	5602
130	1995	5620
131	2008	5599
132	2034	5614
133	2051	5602
134	2063	5577
135	2074	5552
136	2080	5512
137	2110	5535
138	2127	5525
139	2144	5515
140	2161	5503
141	2189	5520
142	2203	5500
143	2217	5482
144	2237	5476
145	2241	5434
146	2245	5391
147	2250	5351
148	2254	5310
149	2258	5269
150	2270	5248
151	2285	5232
152	2294	5204
153	2312	5196
154	2331	5188
155	2337	5154
156	2357	5151
157	2375	5141
158	2400	5148
159	2409	5119
160	2416	5088
161	2431	5073
162	2435	5035
163	2441	5002
164	2451	4977
165	2458	4947
166	2470	4926
167	2476	4894
168	2485	4868
169	2493	4840
170	2501	4812
171	2504	4775
172	2512	4748
173	2518	4719
174	2525	4690
175	2535	4668
176	2539	4634
177	2544	4603
178	2555	4582
179	2565	4561
180	2585	4556
181	2598	4540
182	2608	4517
183	2617	4494
184	2636	4488
185	2643	4462
186	2651	4438
187	2659	4413
188	2667	4388
189	2674	4362
190	2684	4342
191	2692	4319
192	2697	4290
193	2702	4262
194	2709	4237
195	2713	4208
196	2718	4180
197	2722	4153
198	2733	4133
199	2738	4108
200	2746	4086
201	2755	4065
202	2764	4044
203	2795	4056
204	2803	4034
205	2810	4010
206	2817	3988
207	2830	3973
208	2833	3945
209	2842	3924
210	2846	3899
211	2857	3881
212	2865	3861
213	2872	3838
214	2882	3820
