סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,31572 ,5303 ,2754 ,1323 ,558 ,644 ,20990
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,763 ,53 ,192 ,249 ,91 ,83 ,95
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,444 ,34 ,70 ,163 ,50 ,57 ,70
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,622 ,33 ,139 ,195 ,82 ,58 ,115
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,802 ,46 ,210 ,238 ,114 ,42 ,152
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,455 ,30 ,103 ,157 ,59 ,42 ,64
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,708 ,23 ,180 ,220 ,126 ,73 ,86
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,665 ,54 ,182 ,211 ,88 ,37 ,93
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1268 ,58 ,423 ,392 ,265 ,76 ,54
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,210 ,20 ,33 ,82 ,30 ,15 ,30
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,226 ,20 ,50 ,80 ,24 ,16 ,36
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,891 ,58 ,187 ,304 ,126 ,109 ,107
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3475 ,193 ,684 ,1158 ,463 ,337 ,640
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,374 ,25 ,82 ,125 ,42 ,40 ,60
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,17385 ,1061 ,4649 ,5688 ,2623 ,1404 ,1960
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1841 ,117 ,334 ,659 ,251 ,195 ,285
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,39844 ,5270 ,9658 ,14716 ,3358 ,2739 ,4103
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,692 ,63 ,161 ,242 ,68 ,80 ,78
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,657 ,39 ,157 ,219 ,93 ,59 ,90
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,575 ,45 ,122 ,178 ,65 ,46 ,119
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,717 ,56 ,200 ,244 ,84 ,45 ,88
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,730 ,108 ,188 ,269 ,51 ,47 ,67
38 ,כרי דשא ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,1 ,0 ,0 ,0 ,0 ,0 ,1
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,389 ,35 ,93 ,124 ,44 ,38 ,55
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3698 ,261 ,746 ,1279 ,427 ,432 ,553
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,2265 ,116 ,246 ,1173 ,214 ,188 ,328
44 ,זוהר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,353 ,14 ,92 ,125 ,30 ,24 ,68
46 ,יבנאל ,22 ,כנרת ,22 ,טבריה ,0 , ,4875 ,545 ,1517 ,1597 ,409 ,338 ,469
47 ,כפר תבור ,22 ,כנרת ,22 ,טבריה ,0 , ,4917 ,281 ,1156 ,1550 ,675 ,494 ,761
48 ,מנחמיה ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,1274 ,82 ,225 ,433 ,147 ,121 ,266
49 ,אילניה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,591 ,24 ,96 ,215 ,84 ,81 ,91
52 ,לוזית ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,885 ,63 ,276 ,277 ,140 ,65 ,64
53 ,עתלית ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,11419 ,1058 ,3107 ,3723 ,1473 ,688 ,1370
55 ,נוגה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,590 ,39 ,125 ,181 ,89 ,50 ,106
57 ,כנרת )קבוצה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,886 ,47 ,167 ,280 ,123 ,89 ,180
58 ,מצפה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,145 ,9 ,16 ,45 ,14 ,19 ,42
59 ,נחושה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1563 ,91 ,569 ,535 ,256 ,58 ,54
62 ,דגניה א' ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,699 ,40 ,117 ,231 ,86 ,58 ,167
63 ,כנרת )מושבה( ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,701 ,48 ,85 ,252 ,93 ,74 ,149
64 ,יד רמב"ם ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1211 ,101 ,244 ,416 ,152 ,110 ,188
65 ,מגדל ,22 ,כנרת ,22 ,טבריה ,0 , ,2198 ,172 ,483 ,766 ,234 ,230 ,313
66 ,מרחביה )קיבוץ( ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1454 ,86 ,358 ,443 ,230 ,97 ,240
67 ,אור הנר ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,1079 ,88 ,255 ,395 ,147 ,62 ,132
69 ,ניר עוז ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,423 ,25 ,97 ,148 ,37 ,34 ,82
70 ,אשדוד ,61 ,אשקלון ,69 ,אשדוד ,0 , ,257394 ,20231 ,51474 ,83429 ,30300 ,23940 ,48020
71 ,אשבול ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,718 ,50 ,209 ,231 ,102 ,54 ,72
72 ,גן שמואל ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1254 ,92 ,234 ,345 ,187 ,97 ,299
74 ,עין הוד ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,711 ,42 ,131 ,206 ,107 ,94 ,131
76 ,כפר גלעדי ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,869 ,41 ,131 ,323 ,118 ,71 ,185
77 ,איילת השחר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1158 ,64 ,240 ,331 ,177 ,99 ,247
